Iteration	Likelihood
291	-759715.0253697378
292	-759707.1117650771
293	-759699.8077342461
294	-759693.2970409179
295	-759687.1153748381
296	-759680.5032327547
297	-759671.9944769343
298	-759661.209966596
299	-759650.0174888668
300	-759639.5873570957
301	-759630.5547088613
302	-759623.0980229243
303	-759616.2970329095
304	-759609.220681486
305	-759601.2765233049
306	-759592.9808658526
307	-759584.7926396953
308	-759577.6111122483
309	-759571.5082435237
310	-759566.3003550709
311	-759561.5668909458
312	-759555.6517506944
313	-759548.4571725558
314	-759540.9029024139
315	-759533.2287743984
316	-759526.4084119626
317	-759520.711894477
318	-759514.7817242758
319	-759508.5275817043
320	-759502.8367089552
321	-759497.7103033846
322	-759493.2548723095
323	-759489.1175797282
324	-759484.8340895842
325	-759480.2668712384
326	-759475.6117854136
327	-759470.9740126227
328	-759466.1747161553
329	-759461.56131922
330	-759457.1971401622
331	-759453.0262808468
332	-759448.9738339038
333	-759444.734716519
334	-759440.1318204526
335	-759435.1571683218
336	-759429.9261080107
337	-759425.0303979021
338	-759420.4706993984
339	-759415.8040105945
340	-759411.1363024185
341	-759406.7266599202
342	-759402.3261768369
343	-759397.5435587293
344	-759391.9201817816
345	-759385.1641686752
346	-759377.3265068094
347	-759368.5870424161
348	-759358.8141745991
349	-759349.2896936579
350	-759341.8350647717
351	-759335.8194424964
352	-759330.2545863441
353	-759325.1503056086
354	-759320.3805178951
355	-759315.6492659816
356	-759310.9832011808
357	-759307.0021717348
358	-759303.0520151239
359	-759298.4012150908
360	-759292.8485269645
361	-759286.4100288616
362	-759279.7456782946
363	-759273.61122076
364	-759268.5404678136
365	-759264.2452281191
366	-759260.224731662
367	-759255.8751130106
368	-759250.787814012
369	-759246.4047739675
370	-759243.0235313986
371	-759239.266435853
372	-759234.7922096814
373	-759230.6765218134
374	-759226.3722426791
375	-759221.5339743303
